cycle,event,partition,warp,opcode,dst,src1,src2,latency,info
116,ISSUE,0,6,FFMA,0,1,2,4,""
117,ISSUE,0,7,FFMA,0,1,2,4,""
117,COMPLETE,0,5,ALU,0,-1,-1,0,""
118,ISSUE,0,2,LD,1,3,None,4,""
118,COMPLETE,0,6,ALU,0,-1,-1,0,""
119,ISSUE,0,3,LD,1,3,None,4,""
119,COMPLETE,0,7,ALU,0,-1,-1,0,""
120,ISSUE,0,4,LD,1,3,None,4,""
121,ISSUE,0,5,LD,1,3,None,4,""
121,COMPLETE,0,2,ALU,0,-1,-1,0,""
122,ISSUE,0,6,LD,1,3,None,4,""
122,COMPLETE,0,3,ALU,0,-1,-1,0,""
123,ISSUE,0,7,LD,1,3,None,4,""
123,COMPLETE,0,4,ALU,0,-1,-1,0,""
124,ISSUE,0,2,LD,2,4,None,4,""
125,ISSUE,0,3,LD,2,4,None,4,""
126,ISSUE,0,4,LD,2,4,None,4,""
127,ISSUE,0,5,LD,2,4,None,4,""
128,ISSUE,0,6,LD,2,4,None,4,""
129,ISSUE,0,7,LD,2,4,None,4,""
130,ISSUE,0,2,FFMA,0,1,2,4,""
131,ISSUE,0,3,FFMA,0,1,2,4,""
132,ISSUE,0,4,FFMA,0,1,2,4,""
133,ISSUE,0,5,FFMA,0,1,2,4,""
134,ISSUE,0,6,FFMA,0,1,2,4,""
135,ISSUE,0,7,FFMA,0,1,2,4,""
135,COMPLETE,0,5,ALU,0,-1,-1,0,""
136,ISSUE,0,2,LD,1,3,None,4,""
136,COMPLETE,0,6,ALU,0,-1,-1,0,""
137,ISSUE,0,3,LD,1,3,None,4,""
137,COMPLETE,0,7,ALU,0,-1,-1,0,""
138,ISSUE,0,4,LD,1,3,None,4,""
139,ISSUE,0,5,LD,1,3,None,4,""
139,COMPLETE,0,2,ALU,0,-1,-1,0,""
140,ISSUE,0,6,LD,1,3,None,4,""
140,COMPLETE,0,3,ALU,0,-1,-1,0,""
141,ISSUE,0,7,LD,1,3,None,4,""
141,COMPLETE,0,4,ALU,0,-1,-1,0,""
142,ISSUE,0,2,LD,2,4,None,4,""
143,ISSUE,0,3,LD,2,4,None,4,""
144,ISSUE,0,4,LD,2,4,None,4,""
145,ISSUE,0,5,LD,2,4,None,4,""
146,ISSUE,0,6,LD,2,4,None,4,""
147,ISSUE,0,7,LD,2,4,None,4,""
